objM0005, 0, 143, 186, 25, 54, 348, 88
objM0005, 0, 144, 131, 25, 95, 26, 95
objM0005, 0, 145, 133, 26, 95, 25, 95
objM0005, 1, 132, 149, 27, 93, 30, 91
objM0005, 3, 101, 17, 197, 99, 205, 95
objM0005, 3, 146, 56, 169, 113, 174, 116
objM0005, 3, 172, 60, 166, 129, 170, 131
objM0005, 4, 101, 61, 200, 98, 205, 95
objM0005, 4, 105, 61, 202, 100, 205, 97
objM0005, 4, 149, 131, 165, 130, 162, 117
objM0005, 5, 128, 105, 198, 98, 200, 98
objM0005, 5, 128, 107, 199, 98, 199, 98
objM0005, 5, 128, 121, 192, 98, 191, 97
objM0005, 5, 85, 50, 225, 75, 233, 79
objM0005, 5, 92, 134, 183, 69, 186, 78
objM0005, 6, 139, 146, 199, 97, 198, 98
objM0005, 6, 141, 146, 199, 97, 198, 99
objM0005, 6, 168, 137, 189, 111, 199, 115
objM0005, 6, 72, 95, 231, 65, 232, 66
objM0005, 6, 94, 174, 187, 73, 183, 74
objM0005, 6, 95, 95, 226, 76, 230, 78
objM0005, 7, 104, 116, 229, 89, 236, 84
objM0005, 7, 141, 167, 199, 98, 193, 99
objM0008, 0, 130, 81, 60, 93, 61, 93
objM0008, 0, 133, 82, 57, 94, 61, 94
objM0008, 1, 126, 116, 59, 93, 61, 93
objM0008, 1, 176, 138, 49, 119, 46, 118
objM0008, 1, 99, 170, 36, 77, 34, 77
objM0008, 2, 103, 39, 114, 89, 122, 85
objM0008, 2, 129, 154, 59, 95, 58, 92
objM0008, 3, 113, 88, 116, 88, 116, 90
objM0008, 3, 133, 186, 59, 93, 53, 93
objM0008, 3, 47, 70, 129, 52, 136, 57
objM0008, 3, 51, 61, 148, 58, 141, 60
objM0008, 4, 71, 69, 156, 65, 160, 68
objM0008, 4, 72, 74, 158, 67, 157, 68
objM0008, 5, 118, 41, 218, 90, 223, 87
objM0008, 5, 121, 42, 217, 90, 222, 89
objM0008, 5, 30, 119, 161, 42, 162, 43
objM0008, 6, 127, 90, 218, 88, 216, 87
objM0008, 6, 131, 89, 216, 90, 217, 89
objM0008, 7, 138, 126, 218, 89, 216, 89
objM0008, 7, 140, 126, 217, 91, 216, 90
objM0008, 8, 134, 157, 219, 89, 215, 89
objM0008, 9, 129, 177, 216, 90, 222, 88
objM0008, 9, 129, 178, 217, 91, 221, 88
