objOrange, 0, 182, 195, 35, 93, 35, 94
objOrange, 6, 93, 101, 197, 75, 200, 73
objOrange, 7, 88, 164, 198, 73, 198, 73
objOrange, 8, 93, 220, 199, 75, 198, 74
objOrange, 9, 93, 263, 198, 76, 198, 75
objOrange, 1, 184, 247, 34, 94, 36, 96
objOrange, 5, 94, 54, 198, 72, 199, 74
objOrange, 0, 192, 174, 45, 94, 45, 94
objPeach2, 5, 163, 159, 137, 87, 135, 92
objPeach2, 4, 164, 54, 157, 93, 156, 93
objPeach2, 6, 76, 98, 181, 50, 193, 54
objPeach2, 3, 96, 84, 117, 65, 123, 67
objPeach2, 5, 198, 107, 156, 107, 157, 106
objPeach2, 8, 86, 193, 194, 53, 194, 53
objPeach2, 6, 204, 246, 117, 108, 119, 109
objPeach2, 3, 196, 23, 156, 105, 165, 108
objLime, 5, 139, 99, 208, 84, 209, 84
objLime, 6, 136, 176, 208, 85, 207, 83
objLime, 7, 137, 246, 208, 83, 206, 84
objLime, 6, 243, 160, 207, 130, 211, 130
objLime, 4, 243, 122, 172, 129, 173, 131
objLime, 4, 138, 36, 207, 84, 212, 85
objLime, 7, 237, 212, 210, 127, 212, 128
objLime, 6, 241, 157, 209, 127, 212, 129
objClementine, 3, 139, 64, 198, 95, 195, 93
objClementine, 4, 138, 86, 198, 94, 204, 92
objClementine, 5, 143, 126, 197, 93, 199, 94
objClementine, 6, 142, 169, 200, 95, 198, 92
objClementine, 7, 144, 209, 200, 93, 198, 93
objClementine, 8, 149, 241, 199, 92, 198, 92
objClementine, 2, 134, 156, 107, 86, 109, 85
objClementine, 2, 48, 138, 129, 51, 124, 48
