obj0001, 0, 136, 40, 88, 88, 90, 90
obj0001, 0, 138, 41, 88, 89, 90, 90
obj0001, 1, 131, 88, 89, 90, 89, 89
obj0001, 1, 131, 88, 90, 88, 89, 89
obj0001, 10, 138, 111, 271, 88, 273, 87
obj0001, 10, 139, 113, 273, 89, 272, 88
obj0001, 10, 64, 215, 217, 53, 220, 54
obj0001, 11, 137, 157, 271, 86, 271, 87
obj0001, 11, 138, 153, 272, 88, 273, 87
obj0001, 12, 129, 109, 307, 89, 306, 88
obj0001, 12, 131, 190, 271, 89, 272, 88
obj0001, 12, 131, 191, 272, 89, 272, 88
obj0001, 12, 132, 192, 272, 87, 271, 88
obj0001, 13, 130, 213, 272, 89, 272, 87
obj0001, 14, 137, 231, 271, 88, 275, 88
obj0001, 2, 128, 129, 88, 88, 89, 88
obj0001, 2, 128, 132, 88, 87, 88, 88
obj0001, 2, 146, 194, 65, 96, 62, 95
obj0001, 3, 132, 179, 89, 90, 88, 88
obj0001, 3, 132, 180, 88, 88, 88, 88
obj0001, 3, 132, 181, 89, 89, 87, 88
obj0001, 4, 138, 221, 88, 88, 87, 87
obj0001, 4, 139, 221, 88, 89, 87, 88
obj0001, 5, 144, 245, 89, 88, 93, 89
obj0001, 5, 144, 246, 89, 89, 92, 89
obj0001, 6, 63, 49, 218, 55, 213, 55
obj0001, 7, 60, 91, 217, 54, 215, 54
obj0001, 7, 61, 90, 217, 55, 216, 54
obj0001, 8, 137, 34, 270, 88, 269, 87
obj0001, 8, 139, 33, 272, 87, 270, 88
obj0001, 8, 62, 145, 219, 55, 218, 53
obj0001, 8, 65, 147, 218, 55, 217, 54
obj0001, 9, 136, 80, 272, 88, 271, 87
obj0001, 9, 64, 194, 217, 56, 217, 54
obj0013, 1, 182, 202, 36, 110, 37, 110
obj0013, 1, 64, 59, 109, 70, 114, 70
obj0013, 1, 64, 59, 109, 70, 114, 70
obj0013, 10, 151, 82, 299, 104, 301, 103
obj0013, 10, 151, 82, 299, 104, 301, 103
obj0013, 11, 158, 132, 299, 105, 301, 105
obj0013, 11, 158, 132, 299, 105, 301, 105
obj0013, 12, 152, 176, 298, 104, 301, 104
obj0013, 12, 153, 181, 300, 104, 299, 104
obj0013, 12, 153, 181, 300, 104, 299, 104
obj0013, 13, 151, 216, 301, 104, 299, 104
obj0013, 13, 151, 216, 301, 104, 299, 104
obj0013, 2, 65, 104, 112, 70, 113, 70
obj0013, 2, 65, 105, 111, 72, 112, 70
obj0013, 2, 65, 105, 111, 72, 112, 70
obj0013, 3, 75, 155, 112, 71, 112, 70
obj0013, 3, 75, 155, 112, 71, 112, 70
obj0013, 4, 92, 206, 109, 72, 110, 70
obj0013, 4, 92, 206, 109, 72, 110, 70
obj0013, 5, 106, 247, 111, 71, 109, 71
obj0013, 5, 106, 247, 111, 71, 109, 71
obj0013, 9, 153, 44, 299, 106, 302, 104
obj0013, 9, 153, 44, 299, 106, 302, 104
obj0013, 9, 46, 135, 267, 51, 270, 51
